@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
153,985,3,1552,420,0.787018,0.996964,0.388254,0.996964,0.611746,0.558865,0.857095,1.16319,0
154,985,3,1551,421,0.786511,0.996964,0.388407,0.996964,0.611593,0.559024,0.856757,1.163648,0
155,985,3,1550,422,0.786004,0.996964,0.38856,0.996964,0.61144,0.559183,0.856419,1.164107,0
156,985,3,1549,423,0.785497,0.996964,0.388713,0.996964,0.611287,0.559341,0.856081,1.164567,0
157,985,3,1548,424,0.78499,0.996964,0.388867,0.996964,0.611133,0.5595,0.855743,1.165027,0
158,985,3,1547,425,0.784483,0.996964,0.389021,0.996964,0.610979,0.559659,0.855405,1.165487,0
159,985,3,1546,426,0.783976,0.996964,0.389174,0.996964,0.610826,0.559818,0.855068,1.165947,0
160,985,3,1545,427,0.783469,0.996964,0.389328,0.996964,0.610672,0.559977,0.85473,1.166408,0
161,985,3,1544,428,0.782961,0.996964,0.389482,0.996964,0.610518,0.560136,0.854392,1.166869,0
162,985,3,1543,429,0.782454,0.996964,0.389636,0.996964,0.610364,0.560296,0.854054,1.167331,0
163,985,3,1542,430,0.781947,0.996964,0.38979,0.996964,0.61021,0.560455,0.853716,1.167793,0
164,985,3,1541,431,0.78144,0.996964,0.389945,0.996964,0.610055,0.560615,0.853378,1.168255,0
165,985,3,1540,432,0.780933,0.996964,0.390099,0.996964,0.609901,0.560774,0.853041,1.168718,0
166,985,3,1539,433,0.780426,0.996964,0.390254,0.996964,0.609746,0.560934,0.852703,1.169181,0
167,985,3,1538,434,0.779919,0.996964,0.390408,0.996964,0.609592,0.561094,0.852365,1.169644,0
168,985,3,1537,435,0.779412,0.996964,0.390563,0.996964,0.609437,0.561254,0.852027,1.170108,0
169,985,3,1536,436,0.778905,0.996964,0.390718,0.996964,0.609282,0.561414,0.851689,1.170572,0
170,985,3,1535,437,0.778398,0.996964,0.390873,0.996964,0.609127,0.561574,0.851351,1.171037,0
171,985,3,1534,438,0.77789,0.996964,0.391028,0.996964,0.608972,0.561734,0.851014,1.171501,0
172,985,3,1533,439,0.777383,0.996964,0.391183,0.996964,0.608817,0.561894,0.850676,1.171967,0
173,985,3,1532,440,0.776876,0.996964,0.391339,0.996964,0.608661,0.562054,0.850338,1.172432,0
174,985,3,1531,441,0.776369,0.996964,0.391494,0.996964,0.608506,0.562215,0.85,1.172898,0
175,985,3,1530,442,0.775862,0.996964,0.39165,0.996964,0.60835,0.562375,0.849662,1.173365,0
176,985,3,1529,443,0.775355,0.996964,0.391806,0.996964,0.608194,0.562536,0.849324,1.173831,0
177,985,3,1528,444,0.774848,0.996964,0.391962,0.996964,0.608038,0.562696,0.848986,1.174299,0
178,985,3,1527,445,0.774341,0.996964,0.392118,0.996964,0.607882,0.562857,0.848649,1.174766,0
179,985,3,1526,446,0.773834,0.996964,0.392274,0.996964,0.607726,0.563018,0.848311,1.175234,0
180,985,3,1525,447,0.773327,0.996964,0.39243,0.996964,0.60757,0.563179,0.847973,1.175702,0
181,985,3,1524,448,0.772819,0.996964,0.392587,0.996964,0.607413,0.56334,0.847635,1.176171,0
182,985,3,1523,449,0.772312,0.996964,0.392743,0.996964,0.607257,0.563501,0.847297,1.17664,0
183,985,3,1522,450,0.771805,0.996964,0.3929,0.996964,0.6071,0.563662,0.846959,1.177109,0
184,985,3,1521,451,0.771298,0.996964,0.393057,0.996964,0.606943,0.563824,0.846622,1.177579,0
185,985,3,1520,452,0.770791,0.996964,0.393214,0.996964,0.606786,0.563985,0.846284,1.178049,0
186,985,3,1519,453,0.770284,0.996964,0.393371,0.996964,0.606629,0.564147,0.845946,1.178519,0
187,985,3,1518,454,0.769777,0.996964,0.393528,0.996964,0.606472,0.564308,0.845608,1.17899,0
188,985,3,1517,455,0.76927,0.996964,0.393685,0.996964,0.606315,0.56447,0.84527,1.179461,0
189,985,3,1516,456,0.768763,0.996964,0.393842,0.996964,0.606158,0.564632,0.844932,1.179933,0
190,985,3,1515,457,0.768256,0.996964,0.394,0.996964,0.606,0.564794,0.844595,1.180405,0
191,985,3,1514,458,0.767748,0.996964,0.394158,0.996964,0.605842,0.564956,0.844257,1.180877,0
192,985,3,1513,459,0.767241,0.996964,0.394315,0.996964,0.605685,0.565118,0.843919,1.18135,0
193,985,3,1512,460,0.766734,0.996964,0.394473,0.996964,0.605527,0.56528,0.843581,1.181823,0
194,985,3,1511,461,0.766227,0.996964,0.394631,0.996964,0.605369,0.565442,0.843243,1.182297,0
195,984,4,1511,461,0.766227,0.995951,0.394389,0.995951,0.605611,0.56503,0.842905,1.18157,0
196,984,4,1510,462,0.76572,0.995951,0.394547,0.995951,0.605453,0.565192,0.842568,1.182043,0
197,984,4,1509,463,0.765213,0.995951,0.394705,0.995951,0.605295,0.565355,0.84223,1.182518,0
198,984,4,1508,464,0.764706,0.995951,0.394864,0.995951,0.605136,0.565517,0.841892,1.182992,0
199,984,4,1507,465,0.764199,0.995951,0.395022,0.995951,0.604978,0.56568,0.841554,1.183467,0
200,984,4,1506,466,0.763692,0.995951,0.395181,0.995951,0.604819,0.565842,0.841216,1.183942,0
201,984,4,1505,467,0.763185,0.995951,0.395339,0.995951,0.604661,0.566005,0.840878,1.184418,0
202,984,4,1504,468,0.762677,0.995951,0.395498,0.995951,0.604502,0.566168,0.840541,1.184894,0
203,984,4,1503,469,0.76217,0.995951,0.395657,0.995951,0.604343,0.566331,0.840203,1.18537,0
204,984,4,1502,470,0.761663,0.995951,0.395817,0.995951,0.604183,0.566494,0.839865,1.185847,0
205,984,4,1501,471,0.761156,0.995951,0.395976,0.995951,0.604024,0.566657,0.839527,1.186324,0
206,984,4,1500,472,0.760649,0.995951,0.396135,0.995951,0.603865,0.56682,0.839189,1.186802,0
207,984,4,1499,473,0.760142,0.995951,0.396295,0.995951,0.603705,0.566984,0.838851,1.18728,0
208,984,4,1498,474,0.759635,0.995951,0.396454,0.995951,0.603546,0.567147,0.838514,1.187758,0
209,984,4,1497,475,0.759128,0.995951,0.396614,0.995951,0.603386,0.56731,0.838176,1.188237,0
210,984,4,1496,476,0.758621,0.995951,0.396774,0.995951,0.603226,0.567474,0.837838,1.188716,0
211,984,4,1495,477,0.758114,0.995951,0.396934,0.995951,0.603066,0.567638,0.8375,1.189196,0
212,984,4,1494,478,0.757606,0.995951,0.397094,0.995951,0.602906,0.567802,0.837162,1.189676,0
213,984,4,1493,479,0.757099,0.995951,0.397255,0.995951,0.602745,0.567965,0.836824,1.190156,0
214,984,4,1492,480,0.756592,0.995951,0.397415,0.995951,0.602585,0.568129,0.836486,1.190637,0
215,984,4,1491,481,0.756085,0.995951,0.397576,0.995951,0.602424,0.568293,0.836149,1.191118,0
216,984,4,1490,482,0.755578,0.995951,0.397736,0.995951,0.602264,0.568458,0.835811,1.191599,0
217,984,4,1489,483,0.755071,0.995951,0.397897,0.995951,0.602103,0.568622,0.835473,1.192081,0
218,984,4,1488,484,0.754564,0.995951,0.398058,0.995951,0.601942,0.568786,0.835135,1.192563,0
219,984,4,1487,485,0.754057,0.995951,0.398219,0.995951,0.601781,0.568951,0.834797,1.193046,0
220,984,4,1486,486,0.75355,0.995951,0.398381,0.995951,0.601619,0.569115,0.834459,1.193529,0
221,984,4,1485,487,0.753043,0.995951,0.398542,0.995951,0.601458,0.56928,0.834122,1.194012,0
222,984,4,1484,488,0.752535,0.995951,0.398703,0.995951,0.601297,0.569444,0.833784,1.194496,0
223,984,4,1483,489,0.752028,0.995951,0.398865,0.995951,0.601135,0.569609,0.833446,1.19498,0
224,984,4,1482,490,0.751521,0.995951,0.399027,0.995951,0.600973,0.569774,0.833108,1.195465,0
225,984,4,1481,491,0.751014,0.995951,0.399189,0.995951,0.600811,0.569939,0.83277,1.19595,0
226,984,4,1480,492,0.750507,0.995951,0.399351,0.995951,0.600649,0.570104,0.832432,1.196435,0
227,984,4,1479,493,0.75,0.995951,0.399513,0.995951,0.600487,0.570269,0.832095,1.196921,0
228,984,4,1478,494,0.749493,0.995951,0.399675,0.995951,0.600325,0.570435,0.831757,1.197407,0
229,984,4,1477,495,0.748986,0.995951,0.399837,0.995951,0.600163,0.5706,0.831419,1.197894,0
230,984,4,1476,496,0.748479,0.995951,0.4,0.995951,0.6,0.570766,0.831081,1.198381,0
231,984,4,1475,497,0.747972,0.995951,0.400163,0.995951,0.599837,0.570931,0.830743,1.198868,0
232,984,4,1474,498,0.747465,0.995951,0.400325,0.995951,0.599675,0.571097,0.830405,1.199356,0
233,984,4,1473,499,0.746957,0.995951,0.400488,0.995951,0.599512,0.571263,0.830068,1.199844,0
234,984,4,1472,500,0.74645,0.995951,0.400651,0.995951,0.599349,0.571429,0.82973,1.200332,0
235,984,4,1471,501,0.745943,0.995951,0.400815,0.995951,0.599185,0.571595,0.829392,1.200821,0
236,984,4,1470,502,0.745436,0.995951,0.400978,0.995951,0.599022,0.571761,0.829054,1.201311,0
237,984,4,1469,503,0.744929,0.995951,0.401141,0.995951,0.598859,0.571927,0.828716,1.2018,0
238,984,4,1468,504,0.744422,0.995951,0.401305,0.995951,0.598695,0.572093,0.828378,1.20229,0
239,984,4,1467,505,0.743915,0.995951,0.401469,0.995951,0.598531,0.572259,0.828041,1.202781,0
240,984,4,1466,506,0.743408,0.995951,0.401633,0.995951,0.598367,0.572426,0.827703,1.203272,0
241,984,4,1465,507,0.742901,0.995951,0.401797,0.995951,0.598203,0.572592,0.827365,1.203763,0
